county,TotalCasesPer100K,TotalDeathsPer100K,NewPoverty
"Abbeville, South Carolina",833980.1516862998,15870.582539938681,22.663627561723416
"Accomack, Virginia",1186470.7673568819,17533.49573690621,19.90527101096224
"Ada, Idaho",1202034.395346539,11657.554175083944,11.909602704559925
"Adair, Iowa",978809.7886540601,24916.57397107898,9.479060066740823
"Adair, Kentucky",926403.8541234977,41576.87525901368,21.45108267716536
"Adair, Missouri",847360.1446711484,4017.769391044542,29.88293823957228
"Adair, Oklahoma",1248951.9335019877,13222.804481387784,30.84257770148175
"Adams, Colorado",1087319.8729117557,17553.34631546582,12.229954289228246
"Adams, Idaho",677901.6725798276,9984.79472883933,13.843056259503296
"Adams, Illinois",1162679.8628475603,15648.25489990567,13.254272538068786
"Adams, Indiana",830395.7964475413,11568.3362841967,18.929667599520247
"Adams, Iowa",792628.7978863936,6631.439894319683,11.299365918097754
"Adams, Mississippi",957895.0701326663,36342.336066871416,33.62488997245353
"Adams, Nebraska",978339.2472436954,16940.1850209099,12.582765175516412
"Adams, North Dakota",1025464.5270270271,5869.9324324324325,9.2
"Adams, Ohio",561662.9664112297,7251.307025710807,23.856091097901597
"Adams, Pennsylvania",552166.0809733338,12685.42854049159,9.27690990166258
"Adams, Washington",1301547.1678521363,12995.171590260112,23.09662530502051
"Adams, Wisconsin",858942.8670876634,8532.643826761474,13.011103376261747
"Addison, Vermont",149330.6177868296,2357.0943652410047,8.210843177189409
"Aiken, South Carolina",830905.7553392433,13386.88166462491,16.740829898555887
"Aitkin, Minnesota",685928.9186288745,20074.490246827852,12.182456915598763
"Alachua, Florida",979031.4201604679,7614.338214072691,23.67788544051719
"Alamance, North Carolina",982547.3252071665,14091.127949114314,17.526724487468638
"Alameda, California",482556.86159000744,7443.046363711674,11.5656926329225
"Alamosa, Colorado",802067.9106760477,21382.68583664729,28.102086264912817
"Albany, New York",568583.8356341954,15857.47618121719,12.20564197290816
"Albany, Wyoming",1090607.2106261859,2875.289900906599,25.025893421884884
"Albemarle, Virginia",433770.99091384804,5692.402835259978,12.811947100518529
"Alcona, Michigan",364285.0283299722,16767.50216076059,14.877124747911266
"Alcorn, Mississippi",824413.2968154235,14446.055528704152,19.688118253584665
"Aleutians East Borough, Alaska",307399.6405032954,59.916117435590174,16.7
"Aleutians West Census Area, Alaska",583921.1618257262,0.0,7.784543568464731
"Alexander, Illinois",655150.5312868949,9755.017709563164,33.47123671782763
"Alexander, North Carolina",891816.2490917409,11456.174816329827,14.571234425038348
"Alexandria city, Virginia",858618.7059660009,13227.32855019068,10.43103419300627
"Alfalfa, Oklahoma",1489824.7405138675,5376.89297260507,10.480653394589076
"Alger, Michigan",524097.68748649233,2928.4633671925653,12.663377998703265
"Allamakee, Iowa",1088120.5164992826,24835.00717360115,11.382431850789096
"Allegan, Michigan",596110.2106969205,7168.075693197248,10.79211178763853
"Allegany, Maryland",780186.2489840338,24089.76319378435,16.706619277871912
"Allegany, New York",436369.1983122363,15567.510548523207,16.795084388185654
"Alleghany, North Carolina",825642.4325560128,2505.715592135345,21.07739368998628
"Alleghany, Virginia",559881.2060171735,17857.834592291303,19.44447672541804
"Allegheny, Pennsylvania",546202.8049658224,12906.90912935455,12.981751050133989
"Allen, Indiana",980765.5806845467,21921.320908124337,14.924444251074789
"Allen, Kansas",588888.017565872,1137.0765370138017,14.278246549560857
"Allen, Kentucky",814368.819080861,15629.24180725228,19.993979057591623
"Allen, Ohio",950995.1323482818,21271.73401691677,14.993073917259522
"Allendale, South Carolina",1043767.28355669,20580.727504786213,30.429780897681344
"Alpena, Michigan",469603.2022276366,19150.713539853812,14.985889314305602
"Alpine, California",540315.8769742311,0.0,19.8
"Amador, California",649836.4874282957,10596.150753230044,10.012496649332547
"Amelia, Virginia",458818.93454147794,10365.567880018747,12.93940790501484
"Amherst, Virginia",639111.8514095353,3834.187120902606,13.44427543291744
"Amite, Mississippi",1002274.5347542549,27039.92365198028,22.810871639891843
"Anderson, Kansas",870867.3469387755,0.0,13.557117346938776
"Anderson, Kentucky",547508.743243857,3510.9233773901983,12.013085343143931
"Anderson, South Carolina",913510.5626911945,24202.51938982562,15.581192126649292
"Anderson, Tennessee",898914.4536524663,12163.414440414095,16.33126770632
"Anderson, Texas",1417952.4477462033,17032.919459019515,17.436175039395984
"Andrew, Missouri",781155.6630948265,9741.905749510312,8.98356953566079
"Andrews, Texas",1096222.3360072821,21215.224441030892,11.95095294987768
"Androscoggin, Maine",370175.27511950576,5018.7761491655565,14.658411062552997
"Angelina, Texas",978708.0957810718,27614.59521094641,19.23757582668187
"Anne Arundel, Maryland",701043.2164364152,14474.318101310662,5.962086078639745
"Anoka, Minnesota",1043952.4910036217,15169.01012291909,6.586043072426282
"Anson, North Carolina",856640.9463005759,13888.99768908386,22.10832713172222
"Antelope, Nebraska",783156.415860131,8382.766156728067,11.587511707773965
"Antrim, Michigan",363532.6157437427,4949.639043790256,12.604854536808888
"Apache, Arizona",1816304.0138543616,66641.99324041228,35.78437334152677
"Appanoose, Iowa",917781.1429026859,29839.802343189607,17.070526819159962
"Appling, Georgia",1609376.8610253911,47257.86367819826,24.80851605218992
"Appomattox, Virginia",686767.5591773379,6383.391540551028,14.350730823955503
"Aransas, Texas",428076.6752577319,17179.44587628866,17.820678962628868
"Arapahoe, Colorado",840312.5059845647,20148.83213216472,9.91015476882026
"Archer, Texas",707528.7160241101,7858.5238257705,8.84503582395087
"Archuleta, Colorado",409156.60736975854,254.12960609911053,11.638206797966962
"Arenac, Michigan",453957.2122325765,16826.355164719782,18.477871111694448
"Arkansas, Arkansas",1012445.5100261553,20559.06713164778,20.60434829991281
