county,year,month,cases,deaths
"Abbeville, South Carolina",2020,3,32,0.0
"Abbeville, South Carolina",2020,4,430,0.0
"Abbeville, South Carolina",2020,5,1080,0.0
"Abbeville, South Carolina",2020,6,2187,0.0
"Abbeville, South Carolina",2020,7,5959,65.0
"Abbeville, South Carolina",2020,8,11082,271.0
"Abbeville, South Carolina",2020,9,15286,348.0
"Abbeville, South Carolina",2020,10,21806,465.0
"Abbeville, South Carolina",2020,11,26305,594.0
"Abbeville, South Carolina",2020,12,35084,715.0
"Abbeville, South Carolina",2021,1,46891,834.0
"Abbeville, South Carolina",2021,2,40585,642.0
"Acadia, Louisiana",2020,3,85,5.0
"Acadia, Louisiana",2020,4,3066,156.0
"Acadia, Louisiana",2020,5,7229,426.0
"Acadia, Louisiana",2020,6,18342,933.0
"Acadia, Louisiana",2020,7,49484,1583.0
"Acadia, Louisiana",2020,8,82440,2691.0
"Acadia, Louisiana",2020,9,86894,2851.0
"Acadia, Louisiana",2020,10,94873,3088.0
"Acadia, Louisiana",2020,11,107102,3317.0
"Acadia, Louisiana",2020,12,141781,4053.0
"Acadia, Louisiana",2021,1,170861,5218.0
"Acadia, Louisiana",2021,2,118778,3556.0
"Accomack, Virginia",2020,3,28,0.0
"Accomack, Virginia",2020,4,1880,28.0
"Accomack, Virginia",2020,5,19109,275.0
"Accomack, Virginia",2020,6,30048,403.0
"Accomack, Virginia",2020,7,32599,448.0
"Accomack, Virginia",2020,8,34590,528.0
"Accomack, Virginia",2020,9,34867,570.0
"Accomack, Virginia",2020,10,37147,589.0
"Accomack, Virginia",2020,11,38155,610.0
"Accomack, Virginia",2020,12,47215,712.0
"Accomack, Virginia",2021,1,64478,933.0
"Accomack, Virginia",2021,2,49521,662.0
"Ada, Idaho",2020,3,795,9.0
"Ada, Idaho",2020,4,16177,274.0
"Ada, Idaho",2020,5,23629,647.0
"Ada, Idaho",2020,6,34598,667.0
"Ada, Idaho",2020,7,157829,1047.0
"Ada, Idaho",2020,8,303150,2958.0
"Ada, Idaho",2020,9,363824,4198.0
"Ada, Idaho",2020,10,465314,4919.0
"Ada, Idaho",2020,11,647760,6344.0
"Ada, Idaho",2020,12,1007571,9301.0
"Ada, Idaho",2021,1,1299651,11916.0
"Ada, Idaho",2021,2,909958,8444.0
"Adair, Iowa",2020,3,15,0.0
"Adair, Iowa",2020,4,30,0.0
"Adair, Iowa",2020,5,150,0.0
"Adair, Iowa",2020,6,343,0.0
"Adair, Iowa",2020,7,564,0.0
"Adair, Iowa",2020,8,1136,14.0
"Adair, Iowa",2020,9,1806,30.0
"Adair, Iowa",2020,10,3917,31.0
"Adair, Iowa",2020,11,10368,147.0
"Adair, Iowa",2020,12,16315,462.0
"Adair, Iowa",2021,1,20807,608.0
"Adair, Iowa",2021,2,14945,500.0
"Adair, Kentucky",2020,4,1210,101.0
"Adair, Kentucky",2020,5,2799,473.0
"Adair, Kentucky",2020,6,3140,570.0
"Adair, Kentucky",2020,7,5152,589.0
"Adair, Kentucky",2020,8,7489,589.0
"Adair, Kentucky",2020,9,8942,570.0
"Adair, Kentucky",2020,10,13827,651.0
"Adair, Kentucky",2020,11,23633,835.0
"Adair, Kentucky",2020,12,36448,1216.0
"Adair, Kentucky",2021,1,44410,1452.0
"Adair, Kentucky",2021,2,31783,980.0
"Adair, Missouri",2020,3,18,0.0
"Adair, Missouri",2020,4,327,0.0
"Adair, Missouri",2020,5,820,0.0
"Adair, Missouri",2020,6,2365,0.0
"Adair, Missouri",2020,7,3433,0.0
"Adair, Missouri",2020,8,5674,0.0
"Adair, Missouri",2020,9,9305,0.0
"Adair, Missouri",2020,10,14528,0.0
"Adair, Missouri",2020,11,27637,47.0
"Adair, Missouri",2020,12,46014,143.0
"Adair, Missouri",2021,1,60738,437.0
"Adair, Missouri",2021,2,44684,395.0
"Adair, Oklahoma",2020,3,22,0.0
"Adair, Oklahoma",2020,4,1074,63.0
"Adair, Oklahoma",2020,5,2340,93.0
"Adair, Oklahoma",2020,6,3014,118.0
"Adair, Oklahoma",2020,7,5431,131.0
"Adair, Oklahoma",2020,8,11552,189.0
"Adair, Oklahoma",2020,9,16490,299.0
"Adair, Oklahoma",2020,10,22459,329.0
"Adair, Oklahoma",2020,11,31419,384.0
"Adair, Oklahoma",2020,12,47977,407.0
