county,TotalPop,PorPop,IncomePerCap,NewPoverty
"Abbeville County, South Carolina",24788,561786.0,19402.833333333332,22.663627561723416
"Acadia Parish, Louisiana",62607,1354237.4,21454.25,21.63076652770457
"Accomack County, Virginia",32840,653689.1,24769.75,19.90527101096224
"Ada County, Idaho",435117,5182070.600000001,32672.661016949154,11.909602704559925
"Adair County, Iowa",7192,68173.4,28840.666666666668,9.479060066740823
"Adair County, Kentucky",19304,414091.7,18252.285714285714,21.451082677165356
"Adair County, Missouri",25437,760132.3,19346.14285714286,29.88293823957228
"Adair County, Oklahoma",22136,682731.3,16788.0,30.84257770148175
"Adams County, Colorado",487850,5966383.2,27380.0625,12.229954289228246
"Adams County, Idaho",3946,54624.700000000004,24456.0,13.843056259503296
"Adams County, Illinois",66787,885213.1,25558.555555555555,13.254272538068786
"Adams County, Indiana",35018,662879.1,22350.571428571428,18.929667599520247
"Adams County, Iowa",3785,42768.1,27098.5,11.299365918097754
"Adams County, Mississippi",31583,1061974.9,18679.666666666668,33.62488997245353
"Adams County, Nebraska",31564,397162.4,27412.777777777777,12.582765175516412
"Adams County, North Dakota",2368,21785.6,35933.0,9.2
"Adams County, Ohio",27926,666205.2,20102.833333333332,23.856091097901594
"Adams County, Pennsylvania",101589,942432.0,29535.043478260868,9.276909901662581
"Adams County, Washington",19261,444864.10000000003,20129.2,23.09662530502051
"Adams County, Wisconsin",20111,261666.3,25209.14285714286,13.011103376261747
"Addison County, Vermont",36825,302364.3,31103.2,8.210843177189409
"Adjuntas Municipio, Puerto Rico",18525,1188323.6,7086.833333333333,64.14702294197032
"Aguada Municipio, Puerto Rico",39470,2058796.4,8944.666666666666,52.161043830757535
"Aguadilla Municipio, Puerto Rico",55722,2863457.4,10554.1875,51.38827393130182
"Aguas Buenas Municipio, Puerto Rico",26855,1296540.3,10221.0,48.279288773040406
"Aibonito Municipio, Puerto Rico",24008,1181624.9,10199.5,49.21796484505165
"Aiken County, South Carolina",165707,2774072.7,25928.90625,16.740829898555887
"Aitkin County, Minnesota",15841,192982.30000000002,26862.666666666668,12.182456915598763
"Alachua County, Florida",259865,6153053.7,26023.821428571428,23.67788544051719
"Alamance County, North Carolina",157844,2766488.3,25828.083333333332,17.526724487468638
"Alameda County, California",1629615,18847626.2,42258.86666666667,11.5656926329225
"Alamosa County, Colorado",16345,459328.6,19981.0,28.102086264912817
"Albany County, New York",308580,3766417.0,34231.52,12.20564197290816
"Albany County, Wyoming",37944,949582.5,24618.2,25.025893421884884
"Albemarle County, Virginia",105105,1346599.7,38543.954545454544,12.811947100518529
"Alcona County, Michigan",10413,154915.5,24886.8,14.877124747911266
"Alcorn County, Mississippi",37242,733224.9,20381.714285714286,19.688118253584662
"Aleutians East Borough, Alaska",3338,55744.6,31254.0,16.7
"Aleutians West Census Area, Alaska",5784,45025.8,34981.0,7.784543568464731
"Alexander County, Illinois",6776,226801.1,18790.75,33.47123671782763
"Alexander County, North Carolina",37159,541452.5,22875.428571428572,14.571234425038348
"Alexandria city, Virginia",154710,1613785.3,62389.76315789474,10.43103419300627
"Alfalfa County, Oklahoma",5877,61594.8,30995.333333333332,10.480653394589076
"Alger County, Michigan",9254,117186.9,21887.666666666668,12.663377998703263
"Allamakee County, Iowa",13940,158671.1,27575.2,11.382431850789096
"Allegan County, Michigan",114145,1231865.6,27636.416666666668,10.79211178763853
"Allegany County, Maryland",72591,1212750.2,23010.565217391304,16.706619277871912
"Allegany County, New York",47400,796087.0,23037.75,16.795084388185654
"Alleghany County, North Carolina",10935,230481.3,21440.666666666668,21.07739368998628
"Alleghany County, Virginia",15489,301175.5,26531.333333333332,19.44447672541804
"Allegheny County, Pennsylvania",1229605,15962426.0,33222.9262086514,12.981751050133987
"Allen County, Indiana",367747,5488419.600000001,24764.947916666668,14.924444251074789
"Allen County, Kansas",12752,182076.2,23241.0,14.278246549560855
"Allen County, Kentucky",20628,412435.8,21871.333333333332,19.993979057591623
"Allen County, Ohio",104157,1561633.6,22982.515151515152,14.993073917259522
"Allen Parish, Louisiana",25667,446522.30000000005,20080.8,17.396746795496163
"Allendale County, South Carolina",9402,286100.8,13906.666666666666,30.429780897681344
"Alpena County, Michigan",28730,430544.6,23947.555555555555,14.985889314305602
"Alpine County, California",1203,23819.4,27448.0,19.8
"Amador County, California",37306,373526.2,29979.222222222223,10.012496649332547
"Amelia County, Virginia",12802,165650.3,26202.5,12.939407905014841
"Amherst County, Virginia",31819,427783.4,24058.333333333332,13.44427543291744
"Amite County, Mississippi",12574,286823.9,19587.666666666668,22.810871639891843
"Anchorage Municipality, Alaska",298225,2420243.3,39489.96363636364,8.115494341520664
"Anderson County, Kansas",7840,106287.8,22568.0,13.557117346938776
"Anderson County, Kentucky",22017,264492.1,25108.4,12.013085343143933
"Anderson County, South Carolina",194174,3025462.4,23741.02564102564,15.581192126649293
"Anderson County, Tennessee",75538,1233631.3,27038.058823529413,16.33126770632
"Anderson County, Texas",57747,1006886.7999999999,17920.636363636364,17.436175039395984
"Andrew County, Missouri",17358,155936.8,27259.75,8.98356953566079
"Andrews County, Texas",17577,210061.9,33105.25,11.950952949877681
"Androscoggin County, Maine",107317,1573096.7,25032.214285714286,14.658411062552997
"Angelina County, Texas",87700,1687135.4,22013.823529411766,19.23757582668187
"Anne Arundel County, Maryland",564600,3366193.8,42916.67307692308,5.962086078639745
"Anoka County, Minnesota",344861,2271269.4,33858.12048192771,6.586043072426282
"Anson County, North Carolina",25531,564447.7,19687.833333333332,22.10832713172222
"Antelope County, Nebraska",6406,74229.6,28214.0,11.587511707773963
"Antrim County, Michigan",23133,291588.1,30457.0,12.604854536808887
"Apache County, Arizona",71602,2562232.7,13938.625,35.78437334152677
"Appanoose County, Iowa",12547,214183.90000000002,25144.6,17.070526819159962
"Appling County, Georgia",18471,458238.1,20274.0,24.80851605218992
"Appomattox County, Virginia",15462,221891.0,26316.333333333332,14.350730823955503
"Aransas County, Texas",24832,442523.10000000003,34489.8,17.820678962628868
"Arapahoe County, Colorado",626612,6209821.9,38708.22448979592,9.91015476882026
"Archer County, Texas",8793,77774.4,31276.333333333332,8.84503582395087
"Archuleta County, Colorado",12592,146548.3,30773.5,11.638206797966962
"Arecibo Municipio, Puerto Rico",89550,4359115.0,9584.625,48.67800111669458
"Arenac County, Michigan",15238,281565.8,22678.8,18.477871111694448
"Arkansas County, Arkansas",18352,378131.0,24407.625,20.604348299912814
"Arlington County, Virginia",229534,1868601.2,66589.9649122807,8.140847107618043
"Armstrong County, Pennsylvania",66737,868067.5,25281.78947368421,13.00728980925124
"Armstrong County, Texas",1929,14467.5,31219.0,7.5
"Aroostook County, Maine",68840,1212724.8,23586.791666666668,17.6165717606043
"Arroyo Municipio, Puerto Rico",18504,1048820.1,7741.0,56.68072308690014
"Arthur County, Nebraska",421,4588.900000000001,21799.0,10.900000000000002
"Ascension Parish, Louisiana",119129,1407164.5,30037.714285714286,11.812107043624978
"Ashe County, North Carolina",26833,523484.4,22596.666666666668,19.508977751276415
"Ashland County, Ohio",53299,757743.3,24474.636363636364,14.216838965083774
"Ashland County, Wisconsin",15779,228952.9,22799.14285714286,14.50997528360479
"Ashley County, Arkansas",20771,443087.80000000005,20973.85714285714,21.332039863270907
"Ashtabula County, Ohio",98622,1952821.2,22061.96,19.801070755003956
"Asotin County, Washington",22259,301027.5,26059.666666666668,13.523855519115862
"Assumption Parish, Louisiana",22881,359271.4,25072.0,15.701735064026924
"Atascosa County, Texas",48139,702935.9,22750.5,14.602212343422174
"Atchison County, Kansas",16466,306444.2,24696.0,18.61072513057209
"Atchison County, Missouri",5335,64653.600000000006,28401.0,12.118762886597938
"Athens County, Ohio",65563,2373813.8,20692.466666666667,36.20660738526303
"Atkinson County, Georgia",8313,227132.2,18883.0,27.322530975580417
"Atlantic County, New Jersey",272926,4124252.3,30787.028985507248,15.111247371082271
"Atoka County, Oklahoma",13899,267365.19999999995,19034.0,19.236290380602917
"Attala County, Mississippi",18731,429033.3,20870.5,22.904986386204687
"Audrain County, Missouri",25763,444030.4,21141.428571428572,17.235197764235533
"Audubon County, Iowa",5711,63982.0,31625.666666666668,11.203291892838383
"Auglaize County, Ohio",45778,414039.6,28391.545454545456,9.044510463541439
"Augusta County, Virginia",74390,676852.6,29713.23076923077,9.098704126898776
"Aurora County, South Dakota",2739,16981.8,30872.0,6.2
"Austin County, Texas",29292,392364.9,30077.166666666668,13.394950839819748
"Autauga County, Alabama",55036,757091.2,26588.166666666668,13.756290428083435
"Avery County, North Carolina",17535,248452.1,23046.0,14.1689250071286
"Avoyelles Parish, Louisiana",41095,991971.7,21032.555555555555,24.138501034189073
"Añasco Municipio, Puerto Rico",27892,1266213.9,9307.142857142857,45.39702782159759
"Baca County, Colorado",3581,70269.1,22829.5,19.622759005864285
"Bacon County, Georgia",11279,260803.0,18988.333333333332,23.122883234329283
"Bailey County, Texas",7098,158285.4,18662.0,22.3
"Baker County, Florida",27537,472793.5,22544.5,17.16939027490286
"Baker County, Georgia",3251,63351.7,23481.0,19.486834820055368
"Baker County, Oregon",15980,241040.0,25706.833333333332,15.083854818523154
"Baldwin County, Alabama",203360,2413813.2,29130.709677419356,11.869655782848152
"Baldwin County, Georgia",45527,1305053.9,19358.555555555555,28.66549300415138
"Ballard County, Kentucky",8152,148164.0,25678.666666666668,18.175171736997054
"Baltimore County, Maryland",828637,8118545.4,37856.663507109006,9.797469096842164
"Baltimore city, Maryland",619796,13743551.2,28283.984924623117,22.17431412916508
"Bamberg County, South Carolina",14842,369084.89999999997,20402.5,24.8675987063738
"Bandera County, Texas",21316,351695.6,28987.2,16.4991367986489
"Banks County, Georgia",18363,262818.6,19314.25,14.3123999346512
"Banner County, Nebraska",728,6479.2,30736.0,8.9
"Bannock County, Idaho",84113,1490730.0,23763.636363636364,17.72294413467597
"Baraga County, Michigan",8580,124513.20000000001,19162.5,14.512027972027973
"Barber County, Kansas",4905,78042.6,28940.0,15.910825688073396
"Barbour County, Alabama",26201,703968.2,17891.666666666668,26.86798977138277
"Barbour County, West Virginia",16790,385624.60000000003,20570.0,22.967516378796905
"Barceloneta Municipio, Puerto Rico",24583,1194932.8,8520.75,48.60809502501729
"Barnes County, North Dakota",10971,110450.5,32281.0,10.067496126150761
"Barnstable County, Massachusetts",213900,1602498.3,41278.642857142855,7.491810659186536
"Barnwell County, South Carolina",21788,589940.1,20014.6,27.07637690471819
"Barranquitas Municipio, Puerto Rico",29237,1772968.2,7696.5,60.64124910216506
"Barren County, Kentucky",43418,994673.9,20826.6,22.90925192316551
"Barron County, Wisconsin",45358,524351.2,26915.6,11.560280435645309
"Barrow County, Georgia",75099,989181.4,22561.166666666668,13.171698691061133
"Barry County, Michigan",59607,554409.4,27433.909090909092,9.30107873236365
"Barry County, Missouri",35398,727880.3,21110.285714285714,20.562752132888864
"Bartholomew County, Indiana",81024,1004798.0,30330.933333333334,12.401239139020538
"Barton County, Kansas",27067,425693.6,26424.75,15.727402371891971
"Barton County, Missouri",11942,250089.59999999998,25313.0,20.942019762183886
"Bartow County, Georgia",102623,1456120.9,25050.266666666666,14.189030724106681
"Bastrop County, Texas",80306,1066636.6,25397.2,13.282153263766096
"Bates County, Missouri",16405,236331.4,25344.0,14.406059128314538
"Bath County, Kentucky",12189,291807.0,18710.333333333332,23.940191976372137
"Bath County, Virginia",4458,41459.4,28195.0,9.3
"Baxter County, Arkansas",41093,517069.6,24875.555555555555,12.582911931472513
"Bay County, Florida",180117,2770702.4,27171.488372093023,15.382792296118634
"Bay County, Michigan",105350,1725502.2,24834.19230769231,16.378758424299953
"Bayamón Municipio, Puerto Rico",188614,6519139.6,14120.983870967742,34.563391900919335
"Bayfield County, Wisconsin",15004,164464.4,28421.2,10.961370301252998
"Baylor County, Texas",3602,47186.2,30820.0,13.1
"Beadle County, South Dakota",18163,432766.9,25921.0,23.82684027968948
"Bear Lake County, Idaho",5942,86539.0,24630.5,14.563951531470885
"Beaufort County, North Carolina",47316,908305.5,25525.727272727272,19.196582551356833
"Beaufort County, South Carolina",179316,2115210.9,39536.25,11.795996453188783
"Beauregard Parish, Louisiana",36598,633583.0,23941.14285714286,17.31195693753757
"Beaver County, Oklahoma",5445,63826.8,26517.333333333332,11.722093663911846
"Beaver County, Pennsylvania",168161,1824448.1,28045.13725490196,10.849412765147687
"Beaver County, Utah",6414,67361.70000000001,21151.5,10.502291861552855
"Beaverhead County, Montana",9360,152933.4,29114.666666666668,16.33903846153846
"Becker County, Minnesota",33552,427924.4,29324.7,12.754065331425847
"Beckham County, Oklahoma",22971,291432.0,23454.5,12.686953114796918
"Bedford County, Pennsylvania",48891,667638.2,24225.545454545456,13.6556462334581
"Bedford County, Tennessee",46854,795215.8,23716.222222222223,16.972207282195757
"Bedford County, Virginia",77319,691209.3,30521.823529411766,8.939708221782487
"Bee County, Texas",32729,599642.3,19759.14285714286,18.32143664639922
"Belknap County, New Hampshire",60383,555450.6,34927.13333333333,9.198791050461223
"Bell County, Kentucky",27469,1040087.0,14882.666666666666,37.8640285412647
"Bell County, Texas",336506,4805544.0,23611.4126984127,14.28070821916994
"Belmont County, Ohio",68889,948389.7,24501.8,13.766925053346688
"Beltrami County, Minnesota",45847,880216.9,23844.8,19.199007568652256
"Ben Hill County, Georgia",17272,526401.1,17534.6,30.477136405743398
"Benewah County, Idaho",9050,142820.2,23164.0,15.781237569060774
"Bennett County, South Dakota",3440,131003.29999999999,15367.0,38.08235465116279
"Bennington County, Vermont",36054,460100.3,32074.833333333332,12.761421756254506
"Benson County, North Dakota",6875,228318.2,25537.5,33.209920000000004
"Bent County, Colorado",5806,142247.0,14028.0,24.5
"Benton County, Arkansas",251823,2653185.4,30986.775510204083,10.535913717174363
"Benton County, Indiana",8685,129121.5,23575.333333333332,14.867184801381693
